time,low,high,open,close,volume
2024-11-17 20:59:00,89614.46,89646.77,89640.2,89630.95,1.74484821
2024-11-17 20:58:00,89611.12,89653.85,89611.63,89631.11,0.87112181
2024-11-17 20:57:00,89611.12,89649.16,89630.71,89621.46,1.48227524
2024-11-17 20:56:00,89604.98,89661.61,89611.12,89630.72,1.30820546
2024-11-17 20:55:00,89554.87,89627.08,89606.54,89613.59,3.08338592
2024-11-17 20:54:00,89588.0,89632.31,89632.31,89606.54,1.44208286
2024-11-17 20:53:00,89606.77,89670.2,89663.75,89627.43,1.95516752
2024-11-17 20:52:00,89610.3,89674.56,89674.54,89663.74,4.05529298
2024-11-17 20:51:00,89621.11,89676.84,89650.0,89674.55,12.00011417
2024-11-17 20:50:00,89569.26,89650.0,89602.55,89650.0,18.77903523
2024-11-17 20:49:00,89583.27,89700.21,89657.33,89602.56,5.71851092
2024-11-17 20:48:00,89631.42,89692.19,89646.92,89646.7,2.54517023
2024-11-17 20:47:00,89625.0,89665.56,89650.01,89663.47,2.73875277
2024-11-17 20:46:00,89650.0,89679.7,89678.75,89650.01,4.57030699
2024-11-17 20:45:00,89651.49,89741.16,89741.15,89678.76,4.21074351
2024-11-17 20:44:00,89734.41,89800.01,89800.01,89741.15,4.15902365
2024-11-17 20:43:00,89728.41,89818.12,89776.7,89800.0,1.91440372
2024-11-17 20:42:00,89739.36,89799.95,89749.11,89776.69,2.25181726
2024-11-17 20:41:00,89705.18,89792.51,89786.53,89745.25,2.16618441
2024-11-17 20:40:00,89745.49,89815.1,89749.25,89777.79,1.89328718
2024-11-17 20:39:00,89707.49,89806.23,89789.98,89747.16,2.85973896
2024-11-17 20:38:00,89686.73,89793.35,89699.2,89789.93,8.02153799
2024-11-17 20:37:00,89694.06,89833.18,89747.55,89694.06,4.47541838
2024-11-17 20:36:00,89697.28,89767.04,89717.22,89747.92,3.43956338
2024-11-17 20:35:00,89620.09,89715.83,89651.51,89710.62,8.39089861
2024-11-17 20:34:00,89655.58,89753.17,89733.47,89655.79,5.54138118
2024-11-17 20:33:00,89628.23,89734.45,89720.47,89733.88,6.32710557
2024-11-17 20:32:00,89626.01,89742.49,89660.27,89720.47,3.74706842
2024-11-17 20:31:00,89594.89,89717.84,89717.75,89671.89,5.09241148
2024-11-17 20:30:00,89568.33,89716.57,89681.76,89712.1,4.18726669
2024-11-17 20:29:00,89505.34,89703.77,89544.39,89670.22,6.84264579
2024-11-17 20:28:00,89500.0,89637.06,89606.99,89545.76,13.70793588
2024-11-17 20:27:00,89530.57,89812.95,89759.0,89607.04,21.0148091
2024-11-17 20:26:00,89700.0,89889.43,89879.93,89769.76,21.4628402
2024-11-17 20:25:00,89869.63,89913.72,89902.32,89869.63,1.93143698
2024-11-17 20:24:00,89871.23,89933.51,89933.44,89897.87,1.42104652
2024-11-17 20:23:00,89848.12,89965.97,89858.03,89936.93,2.19224916
2024-11-17 20:22:00,89854.99,89933.67,89913.52,89865.16,5.7965151
2024-11-17 20:21:00,89913.51,90062.38,90044.43,89913.52,1.93829587
2024-11-17 20:20:00,90031.29,90128.53,90097.06,90044.44,1.75854695
2024-11-17 20:19:00,90079.5,90115.76,90114.2,90097.06,3.88676848
2024-11-17 20:18:00,90069.2,90154.78,90154.78,90114.2,1.72425616
2024-11-17 20:17:00,90122.37,90154.77,90133.99,90154.77,3.36005965
2024-11-17 20:16:00,90150.01,90197.86,90166.01,90150.01,1.04806561
2024-11-17 20:15:00,90113.54,90170.72,90150.01,90166.0,11.88150167
2024-11-17 20:14:00,90150.0,90188.99,90173.78,90150.01,1.60898578
2024-11-17 20:13:00,90153.79,90205.34,90195.96,90173.77,4.70130301
2024-11-17 20:12:00,90172.72,90205.4,90205.39,90187.22,2.87402878
2024-11-17 20:11:00,90176.19,90219.3,90176.19,90205.4,2.9540169
2024-11-17 20:10:00,90140.2,90202.35,90194.05,90176.18,1.29176505
2024-11-17 20:09:00,90153.13,90208.04,90200.94,90193.5,2.97384862
2024-11-17 20:08:00,90171.14,90206.63,90194.95,90206.63,3.08272426
2024-11-17 20:07:00,90110.04,90199.99,90160.09,90192.0,1.83473379
2024-11-17 20:06:00,90090.74,90200.0,90095.54,90152.96,8.1798228
2024-11-17 20:05:00,90041.93,90102.4,90089.06,90095.63,2.46074442
2024-11-17 20:04:00,90076.69,90149.99,90110.13,90079.83,2.86540553
2024-11-17 20:03:00,90070.87,90118.98,90103.15,90110.22,1.41831861
2024-11-17 20:02:00,90021.02,90136.42,90039.37,90103.15,13.08256744
2024-11-17 20:01:00,89970.06,90069.5,90027.77,90039.38,4.75332273
2024-11-17 20:00:00,90025.57,90099.39,90054.48,90036.51,23.13024075
